carat,cut,color,clarity,depth,table,price,x,y,z
0.35,Ideal,F,VS1,62.4,57.0,1011,4.52,4.49,2.81
0.34,Ideal,G,VVS2,61.1,57.0,775,4.48,4.52,2.75
0.3,Ideal,H,VS1,61.4,54.0,526,4.33,4.37,2.67
0.3,Premium,F,SI2,61.3,58.0,394,4.28,4.33,2.64
0.3,Good,H,VVS2,63.6,55.0,776,4.28,4.24,2.71
0.31,Very Good,F,VS2,62.9,59.0,625,4.27,4.32,2.7
0.32,Premium,G,VS2,62.6,59.0,720,4.36,4.33,2.72
0.36,Ideal,J,SI1,61.6,56.0,597,4.61,4.58,2.83
0.32,Good,F,VS2,63.6,57.0,645,4.34,4.37,2.77
0.31,Premium,F,VS2,62.3,59.0,802,4.34,4.29,2.69
0.54,Ideal,E,VS2,60.5,56.0,1754,5.26,5.28,3.19
0.4,Ideal,F,SI2,61.8,53.0,688,4.77,4.74,2.94
0.52,Ideal,G,VS1,61.6,56.0,1722,5.18,5.22,3.2
0.5,Premium,F,SI1,62.5,59.0,1409,5.03,4.99,3.13
0.41,Ideal,F,SI1,63.0,56.0,904,4.78,4.71,2.99
0.45,Good,E,SI2,64.1,62.0,680,4.82,4.75,3.07
0.4,Premium,D,SI2,63.0,59.0,798,4.69,4.64,2.94
0.52,Ideal,G,VS2,60.8,57.0,1595,5.19,5.21,3.16
0.55,Ideal,D,VS2,61.0,56.0,1768,5.31,5.28,3.23
0.5,Ideal,G,SI2,62.1,55.0,1074,5.12,5.15,3.19
0.71,Ideal,F,VVS1,61.0,56.0,5019,5.77,5.8,3.53
0.77,Good,H,VVS2,57.9,61.0,3027,6.07,6.01,3.5
0.75,Premium,I,SI1,62.5,58.0,2122,5.77,5.82,3.62
0.7,Ideal,H,VS1,61.9,55.0,2484,5.66,5.72,3.52
0.71,Ideal,I,VS1,61.5,60.0,2432,5.7,5.74,3.52
0.77,Ideal,D,SI1,62.5,56.0,3345,5.86,5.91,3.68
0.76,Ideal,D,VS1,61.1,54.0,3353,5.86,5.89,3.59
0.7,Good,E,SI1,60.4,61.0,2696,5.73,5.76,3.47
0.71,Ideal,F,SI1,62.5,57.0,2262,5.68,5.74,3.57
0.72,Ideal,G,VS1,61.2,57.0,3478,5.76,5.79,3.53
0.91,Ideal,H,SI1,61.6,56.0,4096,6.21,6.25,3.84
0.9,Very Good,I,VS2,63.1,57.0,3473,6.12,6.09,3.85
0.9,Ideal,D,VS2,61.2,56.0,6689,6.2,6.26,3.81
0.9,Good,H,SI2,60.4,61.0,3114,6.14,6.22,3.73
0.81,Ideal,I,SI2,61.7,59.0,2386,5.92,6.0,3.68
0.9,Premium,F,SI1,61.7,62.0,3936,6.19,6.13,3.8
0.92,Ideal,D,SI2,61.9,56.0,2840,6.27,6.2,3.86
0.82,Ideal,E,SI1,61.8,58.0,3622,5.99,6.05,3.72
0.8,Premium,I,SI1,60.9,60.0,2507,6.01,5.95,3.64
0.91,Premium,F,SI2,61.4,60.0,3618,6.23,6.21,3.82
1.13,Ideal,E,I1,62.0,55.0,3729,6.66,6.7,4.14
1.03,Ideal,E,VVS2,61.9,57.0,8972,6.5,6.46,4.01
1.13,Ideal,G,VVS2,62.3,57.0,9333,6.62,6.66,4.14
1.14,Ideal,F,VVS2,62.7,55.0,9316,6.7,6.6,4.17
1.09,Ideal,F,VS1,61.7,57.0,8730,6.58,6.62,4.07
1.18,Ideal,H,SI2,62.2,56.0,5657,6.74,6.76,4.2
1.16,Very Good,G,SI1,60.7,59.0,5678,6.74,6.87,4.13
1.0,Good,G,SI2,63.8,56.0,3949,6.23,6.31,4.0
1.13,Premium,G,I1,61.2,58.0,3746,6.77,6.66,4.11
1.08,Ideal,I,SI2,62.3,57.0,4130,6.56,6.61,4.1
1.3,Premium,H,SI2,61.3,58.0,5096,6.99,6.95,4.27
1.22,Premium,H,VS1,58.9,59.0,7283,7.02,6.96,4.12
1.2,Ideal,I,SI1,63.5,61.0,5376,6.75,6.71,4.27
1.21,Very Good,D,SI2,62.3,59.0,6125,6.74,6.78,4.21
1.33,Ideal,H,SI2,62.7,57.0,6480,7.05,6.98,4.4
1.27,Premium,J,VS1,62.6,59.0,5518,6.88,6.92,4.32
1.21,Ideal,H,SI1,62.6,53.0,6025,6.87,6.8,4.28
1.22,Good,H,SI2,63.5,56.0,6250,6.84,6.77,4.32
1.25,Premium,H,VS2,60.4,59.0,7378,6.96,6.92,4.19
1.34,Very Good,H,SI2,61.1,63.0,4352,7.08,7.01,4.3
1.51,Very Good,J,VS1,63.5,60.0,7991,7.29,7.23,4.61
1.51,Fair,D,SI2,64.7,57.0,9555,7.17,7.24,4.66
1.5,Very Good,I,SI1,61.4,62.0,7722,7.26,7.33,4.48
1.51,Good,I,SI1,62.5,57.0,8242,7.25,7.32,4.55
1.53,Ideal,H,SI2,61.9,57.0,8499,7.42,7.34,4.57
1.5,Premium,E,VS1,62.5,58.0,16023,7.21,7.28,4.53
1.5,Premium,E,SI2,61.7,58.0,8190,7.2,7.17,4.43
1.52,Ideal,H,VS1,60.1,60.0,11946,7.54,7.51,4.52
1.5,Good,D,SI2,61.1,64.0,7722,7.26,7.35,4.46
1.56,Premium,E,SI2,62.4,60.0,10090,7.41,7.36,4.61
1.61,Premium,D,SI2,61.3,58.0,10278,7.56,7.49,4.61
1.7,Premium,E,VS2,62.9,58.0,17323,7.57,7.54,4.75
1.75,Very Good,E,SI1,60.3,61.0,15255,7.74,7.82,4.69
1.7,Premium,G,VVS2,61.5,60.0,17228,7.64,7.59,4.68
1.72,Premium,J,SI1,62.0,56.0,6857,7.76,7.7,4.79
1.62,Very Good,H,VS2,62.6,58.0,10912,7.57,7.45,4.7
1.79,Good,G,SI2,57.8,59.0,9122,8.07,7.94,4.63
1.73,Very Good,I,SI1,61.2,60.0,10761,7.65,7.67,4.69
1.7,Good,J,VS2,63.6,59.0,8134,7.53,7.48,4.77
1.74,Premium,I,VS1,62.5,57.0,13037,7.71,7.67,4.81
1.91,Ideal,G,SI2,62.2,55.0,12816,7.94,7.9,4.93
1.83,Ideal,H,SI1,61.5,56.0,15032,7.87,7.81,4.82
1.8,Very Good,I,SI2,63.2,58.0,10161,7.75,7.66,4.87
1.81,Premium,G,SI1,62.3,58.0,11854,7.75,7.68,4.81
1.97,Premium,F,SI2,61.1,58.0,14410,8.05,8.11,4.94
1.93,Ideal,F,SI1,59.5,60.0,18306,8.1,8.13,4.83
1.83,Very Good,I,VS1,61.9,57.0,13587,7.85,7.91,4.88
1.92,Very Good,E,SI2,62.5,59.0,15364,7.85,7.92,4.93
1.99,Fair,H,VS2,60.5,63.0,17713,8.2,8.11,4.93
1.88,Good,J,SI2,57.9,59.0,8048,8.16,8.11,4.71
2.05,Ideal,G,SI1,61.9,57.0,18787,8.1,8.16,5.03
2.02,Good,F,SI2,57.1,60.0,12615,8.31,8.25,4.73
2.01,Very Good,H,VS2,60.7,56.0,18561,8.08,8.17,4.93
2.0,Good,I,VS2,63.6,60.0,16291,7.95,8.03,5.08
2.02,Fair,D,SI1,65.0,55.0,16386,7.94,7.84,5.13
2.03,Premium,I,VS2,60.5,62.0,16483,8.22,8.17,4.96
2.1,Ideal,H,SI1,62.9,57.0,18648,8.19,8.12,5.13
2.0,Premium,I,VS2,59.5,62.0,15651,8.21,8.13,4.86
2.16,Ideal,H,I1,62.2,56.0,8709,8.31,8.26,5.15
2.07,Premium,E,SI2,61.4,58.0,13786,8.24,8.19,5.04
